id,domain,status,purchase_price,renewal_price,attractiveness,demand,length,registrar,created_at,expires_at,status_verified_at
384fbf81-912e-4490-a923-6a44b9bf2c61,bank.money,resell,,,high,low,4,1API GmbH,07/03/2015 18:39,07/03/2027 18:39,
76d76d4d-0976-47dc-9b94-395fcfda9c8a,bank.mortgage,available,,,high,low,4,,,,
f0f15f6e-64e3-4f04-ac8f-c3be2150d384,bank.accountant,premium,12500,,high,low,4,name.com,,,
27373844-090c-428d-bb2b-efdd31a51cdb,bank.accountants,premium,500,,high,low,4,name.com,,,
269b920e-2719-4fbf-be54-f6e0126a861a,bank.store,premium,3125,,high,low,4,name.com,,,
5bbd11f7-501f-430c-b551-5ee6e91af68b,bank.realty,premium,4375,,high,low,4,name.com,,,
b076eafe-cfec-49dc-a3ad-f7a0df09f83d,bank.casa,premium,47.2,11.8,high,low,4,namesilo,,,
593d2669-6fbe-4856-af51-28e2a087f028,bank.maison,available,19.99,,high,low,4,name.com,,,
b82a6f7e-f103-4b09-bfaf-20edf59d876f,bank.house,resell,,,high,low,4,"Sav.com, LLC",28/06/2016 12:53,28/06/2026 12:53,
6cd43599-135c-44e6-8f14-75cb2adc377a,bank.homes,premium,812.5,,high,low,4,name.com,,,
8cc1dec2-36c0-4164-aa6a-83eda3d59d1f,bank.deal,premium,1107,1107,high,low,4,namesilo,,,
23d0af76-ca3a-4408-ad2a-7502a4454d4b,bank.immobilien,premium,242,242,high,low,4,namesilo,,,
6db64e27-fd7d-46b9-bf3a-2557c50007ba,bank.villas,premium,242,242,high,low,4,namesilo,,,
ee91783f-9bf5-4647-8f87-a9cdd254c14f,bank.rent,premium,625,,high,low,4,name.com,,,
d438dd23-ed18-48a2-a8ad-38d4a36f5225,bank.rentals,premium,118.8,118.8,high,low,4,namesilo,,,
2dab6d80-9d5f-47ae-8297-219c350b3c4d,bank.apartments,available,19.99,,high,low,4,name.com,,,
c964f200-ec55-490a-ae90-be7f8c1414d6,bank.condos,premium,242,242,high,low,4,namesilo,,,
23880182-0acb-4411-8a44-1693b077671b,bank.industries,premium,242,242,high,low,4,namesilo,,,
90946c30-1850-4dbc-b0a5-14d398a485da,bank.llc,premium,625,,high,low,4,name.com,,,
3539daee-bacc-4f21-b3bc-00dfa836165e,bank.srl,premium,54.28,30.68,high,low,4,namesilo,,,
c1f093a0-e76b-471f-b53a-dae7668282f8,bank.gmbh,resell,,,high,low,4,Atom.com Domains LLC,24/08/2025 20:15,24/08/2027 20:15,22/09/2026 10:53
bf04d3ea-f4fc-476e-9b78-c2869fe7653c,bank.ltda,premium,56.64,33.04,high,low,4,namesilo,,,
98ef77ba-96ff-4eff-a517-709c19818f4f,bank.limited,resell,,,high,low,4,"Sav.com, LLC",29/06/2024 04:01,29/06/2026 04:01,
13f93395-695e-47e2-8cc4-5fb5a23a7f5f,banking.loan,premium,6500,130,high,low,7,namecheap,,,
926660ce-779c-4859-b9e8-5bab70108932,bank.at,available,,,high,low,4,,,,
a14d02be-ddd0-49ff-aad9-a6e55e46d118,bank.blackfriday,available,114.99,114.99,high,low,4,namesilo,,,
7b9b07ae-3e8f-4e8e-aaeb-efe6ac34fcb9,bank.bargains,premium,78.54,78.54,high,low,4,namesilo,,,
0140af4b-4e69-40de-8ea1-a928ecac18c6,banking.money,premium,128.7,128.7,high,low,7,namecheap,,,
713d44da-61f2-48ef-a35c-bbdb060ced7b,banking.cash,resell,,,high,low,7,"Spaceship, Inc.",14/03/2022 19:42,14/03/2027 19:42,
2f45f83a-8459-4c04-bd08-06e05ef180f0,bank.forsale,resell,,,high,low,4,"Sav.com, LLC - 47",08/10/2025 15:16,08/10/2026 15:16,
2d0de98e-5572-4d7c-84d1-1b8310262143,bank.sale,premium,1107,1107,high,low,4,namesilo,,,
5afd2f5d-bbd0-4102-9349-c517034e091b,bank.discount,resell,,,high,low,4,Dynadot Inc,15/05/2026 17:00,15/05/2027 17:00,24/09/2026 07:00
